Account,Flag,Cleared,Check Number,Date,Payee,Category,Master Category,Sub Category,Memo,Outflow,Inflow,Running Balance
"Avidia Checking",,U,,06/08/2013,"",,,,"",$0.00,$0.00,$0.00
"Avidia Checking",,U,,06/09/2013,"Starting Balance","Income : Available this month","Income","Available this month","Starting balance",$0.00,$6865.05,$6865.05
"Avidia Checking",,U,,06/10/2013,"Transfer : Target",,,,"",$17.16,$0.00,$6847.89
"Avidia Checking",,U,,06/10/2013,"NGRID","Housing : Electricity","Hidden Categories","Housing ` Electricity","",$65.20,$0.00,$6782.69
"Avidia Checking",,U,,06/11/2013,"Isa Mattei","Personal : Gifts","Personal","Gifts","Laura B-Day",$55.00,$0.00,$6727.69
"Avidia Checking",,U,,06/11/2013,"Carleen Wilkish","Personal : Miscellaneous","Personal","Miscellaneous","",$69.00,$0.00,$6658.69
"Avidia Checking",,U,,06/12/2013,"Bancroft Schoole","Education : bancroft","Education","bancroft","Sports night",$30.00,$0.00,$6628.69
"Avidia Checking",,U,,06/15/2013,"softright","Income : Available next month","Income","Available next month","Salary",$0.00,$3267.66,$9896.35
"Avidia Checking",,U,,06/16/2013,"Lovely Valentine","Personal : Gifts","Personal","Gifts","?",$50.00,$0.00,$9846.35
"Avidia Checking",,U,,06/17/2013,"Transfer : Target Lisa",,,,"",$116.71,$0.00,$9729.64
"Avidia Checking",,U,,06/18/2013,"nstart","Housing : Gas","Hidden Categories","Housing ` Gas","",$57.10,$0.00,$9672.54
"Avidia Checking",,U,,06/19/2013,"Cliff Lander","Personal : Gifts","Personal","Gifts","Birthday/Fathers day",$200.00,$0.00,$9472.54
"Avidia Checking",,U,,06/20/2013,"","Income : Available next month","Income","Available next month","",$0.00,$383.38,$9855.92
"Avidia Checking",,U,,06/24/2013,"Misc Income?","Income : Available next month","Income","Available next month","",$0.00,$160.00,$10015.92
"Avidia Checking",,U,,06/24/2013,"avidia bank","Personal : Miscellaneous","Personal","Miscellaneous","Bank fee",$2.00,$0.00,$10013.92
"Avidia Checking",,U,,06/24/2013,"avidia bank","Personal : Miscellaneous","Personal","Miscellaneous","bank fee",$2.50,$0.00,$10011.42
"Avidia Checking",,U,,06/24/2013,"SMG","Personal : Doctor, Dentist","Personal","Doctor, Dentist","Lisa Medical",$5.00,$0.00,$10006.42
"Avidia Checking",,U,,06/24/2013,"","Recreation : Entertainment","Recreation","Entertainment","(Split 1/2) Mini golf",$40.00,$0.00,$9926.42
"Avidia Checking",,U,,06/24/2013,"","Food : Restaurants","Food","Restaurants","(Split 2/2) ",$40.00,$0.00,$9926.42
"Avidia Checking",,U,,06/28/2013,"softright","Income : Available next month","Income","Available next month","Salray",$0.00,$3267.67,$13194.09
"Avidia Checking",,U,,07/01/2013,"Bancroft Schoole","Education : bancroft","Education","bancroft","",$1.33,$0.00,$13192.76
"Avidia Checking",,U,,07/01/2013,"Save the children","Charity : Other","Charity","Other","",$28.00,$0.00,$13164.76
"Avidia Checking",,U,,07/03/2013,"Pumpkin Brook","Income : Available this month","Income","Available this month","",$0.00,$397.62,$13562.38
"Avidia Checking",,U,,07/03/2013,"verizon wireless","Housing : Cell Phones","Hidden Categories","Housing ` Cell Phones","",$93.79,$0.00,$13468.59
"Avidia Checking",,U,,07/03/2013,"Transfer : Discover",,,,"",$4437.74,$0.00,$9030.85
"Avidia Checking",,U,,07/05/2013,"Transfer : Lisa Cash Account",,,,"",$50.00,$0.00,$8980.85
"Avidia Checking",,U,,07/08/2013,"interest","Income : Available this month","Income","Available this month","",$0.00,$0.39,$8981.24
"Avidia Checking",,U,,07/08/2013,"Shell","Personal : Gifts","Personal","Gifts","alex",$20.00,$0.00,$8961.24
"Avidia Checking",,U,,07/08/2013,"SMG","Personal : Doctor, Dentist","Personal","Doctor, Dentist","",$20.00,$0.00,$8941.24
